1,1,0
1,2,-2.0019
1,3,-1.0051
1,4,-0.0056
1,5,-0.0033032
1,6,-0.99392
1,7,-0.99498
1,8,-0.0096541
1,9,-1.001
1,10,-0.98502
1,11,-5.0189
1,12,-1.9975
2,1,-2.0116
2,2,0.0041304
2,3,-1.0126
2,4,-4.0125
2,5,-1.9948
2,6,-1.9962
2,7,-3.0099
2,8,0
3,1,1.9877
3,2,-1.0007
3,3,2.0111
3,4,2.008
3,5,0.99943
3,6,1.9771
3,7,1.0093
3,8,0
3,9,0.98427
3,10,3.0097
3,11,3.9979
3,12,-1.0004
3,13,0.99713
3,14,-1.0021
3,15,0.98776
4,1,2.0192
4,2,3.0128
4,3,-0.99561
4,4,0.99863
4,5,3.0027
4,6,2.9911
4,7,0
4,8,1.0066
4,9,3.0229
5,1,0.99645
5,2,-1.0035
5,3,0
5,4,-1.0019
5,5,-0.99308
5,6,-0.0082588
5,7,-0.99694
5,8,-1.9965
5,9,-2.0006
5,10,-2.9931
5,11,0
5,12,-0.98194
5,13,-0.99962
6,1,4.0051
6,2,1.9852
6,3,2.9959
6,4,4.0058
6,5,5.0144
6,6,1.9872
6,7,3.002
6,8,4.0004
6,9,3.0187
7,1,-2.0125
7,2,-0.99381
7,3,-1.0225
7,4,-1.0246
7,5,-1.0122
7,6,-2.0255
7,7,-0.98717
8,1,3.9903
8,2,4.0034
8,3,0
8,4,-0.99772
8,5,2.999
8,6,1.9991
8,7,1.9946
8,8,0
8,9,2.9892
8,10,3.0055
8,11,2.9998
8,12,4.9828
9,1,-3.0008
9,2,-1.9759
9,3,-3.0027
9,4,-2.9933
9,5,-2.0035
10,1,5.006
10,2,3.9927
10,3,1.9834
10,4,4.0019
10,5,4.0161
10,6,3.9789
10,7,4.9969
11,1,-2.9809
11,2,-1.9926
11,3,-4.021
11,4,-2.9917
11,5,-1.979
11,6,-1.9895
11,7,-1.9818
11,8,-2.0144
11,9,-3.0097
11,10,-5.0218
13,1,-2.9969
13,2,-1.9914
13,3,2.0105
13,4,0
13,5,0
13,6,-0.99981
13,7,-2.0116
13,8,-1.0061
13,9,-2.9973
13,10,-0.97788
13,11,1.9761
14,1,3.0101
14,2,2.0105
14,3,1.0005
14,4,3.9938
14,5,4.9791
14,6,3.9852
14,7,3.9955
14,8,4.0046
14,9,5.0013
14,10,4.9747
14,11,2.9977
14,12,4.0074
15,1,0
15,2,-0.98244
15,3,2.0033
15,4,1.023
15,5,-2.0051
15,6,0
15,7,0.99462
17,1,-1.9934
17,2,0
17,3,-0.98676
17,4,-0.99819
17,5,0.012976
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0.98564
18,1,1.0068
18,2,1.9961
18,3,3.0046
18,4,1.9859
18,5,1.999
18,6,0.99524
18,7,3.0141
18,8,3.0144
18,9,1.9921
18,10,1.9993
