101,1,-1.2586,-0.72618,-0.97477
101,10,-1.125,-0.79479,-0.94681
101,11,-1.28,-0.77629,-0.96652
101,12,-1.125,-0.80503,-0.96095
101,13,-1.28,-0.81513,-0.97385
101,14,-1.1647,-0.76663,-0.96236
101,2,-1.2194,-0.76898,-0.97605
101,3,-1.2586,-0.80119,-0.95313
101,4,-1.28,-0.75634,-0.94232
101,5,-1.2586,-0.81115,-0.95522
101,6,-1.28,-0.77214,-0.96562
101,7,-1.2385,-0.75881,-0.96957
101,8,-1.2975,-0.74078,-0.96673
101,9,-1.2586,-0.77822,-0.96971
102,1,-1.2196,-0.80006,-0.96919
102,10,-1.125,-0.75141,-0.9476
102,2,-1.2454,-0.73009,-0.96328
102,3,-1.2385,-0.89898,-0.96173
102,4,-1.2021,-0.78977,-0.94971
102,5,-1.1765,-0.77758,-0.95483
102,6,-1.2454,-0.78659,-0.94677
102,7,-1.2196,-0.89886,-0.97419
102,8,-1.28,-0.83815,-0.96656
102,9,-1.1442,-0.7962,-0.9715
103,1,-1.2454,-0.82548,-0.95391
103,2,-1.2454,-0.8124,-0.94863
103,3,-1.28,-0.90403,-0.94225
103,4,-1.2454,-0.83614,-0.93664
103,5,-1.2454,-0.82198,-0.9333
103,6,-1.2975,-0.84493,-0.94749
103,7,-1.2975,-0.82272,-0.94011
104,1,-1.2975,-0.75879,-0.9428
104,10,-1.2975,-0.76093,-0.94703
104,2,-1.2975,-0.80824,-0.88878
104,3,-1.2975,-0.74997,-0.95425
104,4,-1.2975,-0.7568,-0.97289
104,5,-1.2975,-0.77764,-0.96305
104,6,-1.2975,-0.76734,-0.96464
104,7,-1.2975,-0.77235,-0.96199
104,8,-1.2975,-0.80107,-0.97061
104,9,-1.2975,-0.76316,-0.95433
105,1,-1.2194,-0.83199,-0.98524
105,10,-1.1442,-0.74431,-0.97976
105,11,-1.166,-0.83631,-0.98255
105,2,-1.0742,-0.76458,-0.98123
105,3,-1.2975,-0.7337,-0.98453
105,4,-1.2975,-0.69614,-0.90392
105,5,-1.2975,-0.76369,-0.98197
105,6,-1.2975,-0.73809,-0.91411
