101,1,44.073,51.049,31.189,31.189,9.075,13.826
101,10,38.417,47.611,22.197,22.197,14.229,19.074
101,11,36.41,41.154,20.769,20.769,13.342,19.969
101,12,32.487,48.487,19.672,19.672,17.737,24.281
101,13,36.4,37.314,19.027,19.027,17.941,22.145
101,14,32.892,44.459,18.211,18.211,17.917,28.506
101,2,33.214,43.857,19.812,19.812,16.049,19.561
101,3,35.349,42.047,21.027,21.027,13.048,21.169
101,4,39.054,50.243,23.457,23.457,14.5,22.508
101,5,44.257,41.371,20.516,20.516,15.059,26.926
101,6,34.051,45.282,20.494,20.494,15.316,16.381
101,7,40.171,42.657,31.457,31.457,16.588,18.178
101,8,34,47.184,17.179,17.179,18.486,17.503
101,9,37.051,48.154,16.697,16.697,14.684,15.645
102,1,25.982,30.286,17.063,17.063,12.527,13.307
102,10,35.333,30.972,27.469,27.469,17,30.707
102,2,31.462,36.692,19.447,19.447,14.725,17.138
102,3,38.784,30.514,25.483,25.483,22.806,24.783
102,4,30.875,33.438,13.828,13.828,16.809,20.478
102,5,31.4,33.525,28.357,28.357,14.821,13.818
102,6,30.818,31.727,20.079,20.079,20.093,18.298
102,7,30.302,38.209,15.94,15.94,21.381,19.555
102,8,28.615,35.205,16.421,16.421,20.105,17.82
102,9,27.854,32.878,12.607,12.607,17.05,17.49
103,1,26,31.306,11.494,11.494,34.571,33.202
103,2,30.816,30.974,18.582,18.582,29.189,30.859
103,3,27.727,31.667,12.003,12.003,36.719,39.881
103,4,33.844,32.625,20.05,20.05,36.774,27.753
103,5,33.613,33.258,22.449,22.449,38.6,41.162
103,6,26.188,33.469,11.713,11.713,40.419,43.299
103,7,34.923,41.192,23.995,23.995,42.56,41.867
104,1,54.387,42.387,46.824,46.824,15.867,24.25
104,10,46.424,46.636,31.555,31.555,14.438,17.704
104,2,42.316,53.5,31.001,31.001,16.811,16.921
104,3,45.333,42.833,30.473,30.473,14.457,18.666
104,4,69.5,49.077,49.898,49.898,14.64,11.221
104,5,49.219,44.625,38.883,38.883,14.871,15.325
104,6,50.324,49.559,34.259,34.259,11.939,14.853
104,7,56.964,55.429,35.788,35.788,18.185,20.048
104,8,48.838,46.595,32.782,32.782,11.528,22.52
104,9,58.889,55.889,35.179,35.179,19.808,21.779
105,1,36.368,45.842,16.883,16.883,19.919,24.732
105,10,43.429,57.429,16.36,16.36,23,34.42
